"Time","my_snoring.mean"
2021-12-04 05:57:55,0.122
2021-12-04 05:58:00,0.0823
2021-12-04 05:58:05,0.0670
2021-12-04 05:58:10,0.0656
2021-12-04 05:58:15,0.110
2021-12-04 05:58:20,0.0660
2021-12-04 05:58:25,0.0745
2021-12-04 05:58:30,0.0689
2021-12-04 05:58:35,0.0865
2021-12-04 05:58:40,0.0792
2021-12-04 05:58:45,0.0750
2021-12-04 05:58:50,0.0699
2021-12-04 05:58:55,0.0651
2021-12-04 05:59:00,0.0772
2021-12-04 05:59:05,0.0656
2021-12-04 05:59:10,0.0659
2021-12-04 05:59:15,0.0660
2021-12-04 05:59:20,0.0863
2021-12-04 05:59:25,0.0647
2021-12-04 05:59:30,0.0660
2021-12-04 05:59:35,0.0660
2021-12-04 05:59:40,0.0658
2021-12-04 05:59:45,0.0661
2021-12-04 05:59:50,0.0660
2021-12-04 05:59:55,0.0662
2021-12-04 06:00:00,0.0658
2021-12-04 06:00:05,0.0669
2021-12-04 06:00:10,0.0724
2021-12-04 06:00:15,0.0710
2021-12-04 06:00:20,0.0660
2021-12-04 06:00:25,0.0923
2021-12-04 06:00:30,0.0661
2021-12-04 06:00:35,0.0801
2021-12-04 06:00:40,0.0661
2021-12-04 06:00:45,0.0752
2021-12-04 06:00:50,0.0690
2021-12-04 06:00:55,0.0796
2021-12-04 06:01:00,0.0868
2021-12-04 06:01:05,0.0699
2021-12-04 06:01:10,0.0764
2021-12-04 06:01:15,0.0665
2021-12-04 06:01:20,0.0655
2021-12-04 06:01:25,0.0658
2021-12-04 06:01:30,0.0659
2021-12-04 06:01:35,0.0660
2021-12-04 06:01:40,0.0645
2021-12-04 06:01:45,0.0654
2021-12-04 06:01:50,0.0785
2021-12-04 06:01:55,0.0671
2021-12-04 06:02:00,0.0661
2021-12-04 06:02:05,0.0657
2021-12-04 06:02:10,0.0659
2021-12-04 06:02:15,0.0662
2021-12-04 06:02:20,0.0712
2021-12-04 06:02:25,0.0794
2021-12-04 06:02:30,0.0658
2021-12-04 06:02:35,0.0745
2021-12-04 06:02:40,0.0659
2021-12-04 06:02:45,0.0713
2021-12-04 06:02:50,0.0661
2021-12-04 06:02:55,0.0770
2021-12-04 06:03:00,0.0727
2021-12-04 06:03:05,0.0755
2021-12-04 06:03:10,0.0900
2021-12-04 06:03:15,0.0710
2021-12-04 06:03:20,0.0942
2021-12-04 06:03:25,0.0702
2021-12-04 06:03:30,0.144
2021-12-04 06:03:35,0.0652
2021-12-04 06:03:40,0.141
2021-12-04 06:03:45,0.0656
2021-12-04 06:03:50,0.0835
2021-12-04 06:03:55,0.0775
2021-12-04 06:04:00,0.0719
2021-12-04 06:04:05,0.128
2021-12-04 06:04:10,0.0856
2021-12-04 06:04:15,0.0938
2021-12-04 06:04:20,0.0693
2021-12-04 06:04:25,0.0634
2021-12-04 06:04:30,0.0810
2021-12-04 06:04:35,0.0680
2021-12-04 06:04:40,0.0657
2021-12-04 06:04:45,0.0656
2021-12-04 06:04:50,0.0690
2021-12-04 06:04:55,0.0656
2021-12-04 06:05:00,0.0650
